연번,주소,기하구조,관리부서
308,제주특별자치도 제주시 오라이동 190-1,4지형,교통정보센터
309,제주특별자치도 제주시 오라이동 167-3,단일로,교통정보센터
310,제주특별자치도 제주시 오라이동 73-3,4지형,교통정보센터
311,제주특별자치도 제주시 오등동 1780-1,4지형,교통정보센터
312,제주특별자치도 제주시 오등동 178-1,4지형,교통정보센터
313,제주특별자치도 제주시 아라이동 266-1,단일로,교통정보센터
314,제주특별자치도 제주시 영평동 2076-1,4지형,교통정보센터
315,제주특별자치도 제주시 일도이동 48-5,4지형,교통정보센터
316,제주특별자치도 제주시 일도이동 823-9,4지형,교통정보센터
317,제주특별자치도 제주시 노형동 2583-1 (202동앞),4지형,교통정보센터
318,제주특별자치도 제주시 노형동 1280-4,단일로,교통정보센터
319,제주특별자치도 제주시 노형동 1043-5,4지형,교통정보센터
320,제주특별자치도 제주시 노형동 2732-2,4지형,교통정보센터
321,제주특별자치도 제주시 노형동 2737,3지형,교통정보센터
322,제주특별자치도 제주시 노형동 2582-1,3지형,교통정보센터
323,제주특별자치도 제주시 노형동 2598-4,3지형,교통정보센터
324,제주특별자치도 제주시 노형동 2569,3지형,교통정보센터
325,제주특별자치도 제주시 노형동 2887-4,3지형,교통정보센터
326,제주특별자치도 제주시 노형동 2897-1,4지형,교통정보센터
327,제주특별자치도 제주시 노형동 3065-9,3지형,교통정보센터
328,제주특별자치도 제주시 노형동 3129-1,4지형,교통정보센터
329,제주특별자치도 제주시 노형동 2585-2 (101동앞),3지형,교통정보센터
330,제주특별자치도 제주시 노형동 2593-5 (건물 뒤),3지형,교통정보센터
331,제주특별자치도 제주시 노형동 3813,3지형,교통정보센터
332,제주특별자치도 제주시 노형동 1545-1,3지형,교통정보센터
333,제주특별자치도 제주시 노형동 1545-1,4지형,교통정보센터
334,제주특별자치도 제주시 연동 1399-1(아파트정문 남쪽),4지형,교통정보센터
335,제주특별자치도 제주시 연동 1360-5,3지형,교통정보센터
336,제주특별자치도 제주시 연동 1529-11,4지형,교통정보센터
337,제주특별자치도 제주시 연동 302-8,4지형,교통정보센터
338,제주특별자치도 제주시 연동 303-34,4지형,교통정보센터
339,제주특별자치도 제주시 연동 306-2,5지형,교통정보센터
340,제주특별자치도 제주시 노형동 917-3,4지형,교통정보센터
341,제주특별자치도 제주시 연동 262-19,4지형,교통정보센터
342,제주특별자치도 제주시 연동 261-20,4지형,교통정보센터
343,제주특별자치도 제주시 연동 271-6,4지형,교통정보센터
344,제주특별자치도 제주시 연동 282-11,4지형,교통정보센터
345,제주특별자치도 제주시 도남동 572-4,3지형,교통정보센터
346,제주특별자치도 제주시 오라일동 1074,4지형,교통정보센터
347,제주특별자치도 제주시 오라일동 1023-2,4지형,교통정보센터
348,제주특별자치도 제주시 삼도일동 530,4지형,교통정보센터
349,제주특별자치도 제주시 삼도일동 751-18,4지형,교통정보센터
350,제주특별자치도 제주시 삼도이동 803-1,4지형,교통정보센터
351,제주특별자치도 제주시 용담일동 264-10,5지형,교통정보센터
352,제주특별자치도 제주시 용담일동 219-10,3지형,교통정보센터
353,제주특별자치도 제주시 삼도이동 811-18,단일로,교통정보센터
354,제주특별자치도 제주시 용담이동 603-22,단일로,교통정보센터
355,제주특별자치도 제주시 용담일동 312-8,4지형,교통정보센터
356,제주특별자치도 제주시 용담일동 318-6,3지형,교통정보센터
357,제주특별자치도 제주시 용담일동 351,단일로,교통정보센터
358,제주특별자치도 제주시 용담일동 2-9,4지형,교통정보센터
359,제주특별자치도 제주시 삼도이동 1221-10,3지형,교통정보센터
360,제주특별자치도 제주시 삼도이동 1255,4지형,교통정보센터
361,제주특별자치도 제주시 삼도이동 1192-4,단일로,교통정보센터
362,제주특별자치도 제주시 건입동 1310-10,3지형,교통정보센터
363,제주특별자치도 제주시 건입동 1305-3,3지형,교통정보센터
364,제주특별자치도 제주시 용담이동 1586-11,3지형,교통정보센터
365,제주특별자치도 제주시 용담이동 1596-14,4지형,교통정보센터
